"province","<20","20-60",">60","total","PROV_CODE","PROV_NAME","clean-name","fid"
"ภูเก็ต",109365,243034,48262,414471,"83","PHUKET","PHUKET",67
"สุราษฎร์ธานี",268445,622870,164938,1067726,"84","SURAT THANI","SURATTHANI",68
"ระนอง",45206,105132,28289,194372,"85","RANONG","RANONG",69
"ชุมพร",115469,296787,91744,509208,"86","CHUMPHON","CHUMPHON",70
"สงขลา",368274,813755,229680,1428609,"90","SONGKHLA","SONGKHLA",71
"สตูล",95931,183430,42848,324098,"91","SATUN","SATUN",72
"ตรัง",157583,374589,105627,640574,"92","TRANG","TRANG",73
"พัทลุง",119473,302266,100108,523077,"93","PHATTHALUNG","PHATTHALUNG",74
"ปัตตานี",247677,386170,88552,726015,"94","PATTANI","PATTANI",75
"ยะลา",180257,288780,65546,538602,"95","YALA","YALA",76
"นราธิวาส",264378,442067,94169,804429,"96","NARATHIWAT","NARATHIWAT",77
